UrUn_Kodu,Kategori,CTR,CR,Add_To_Card,Stok,SatisAdet,Devir_Hizi,Resim_link,Urun_Ad,Urun_Tip,google_Trends_skoru,Z_CTR,Z_CR,Z_Add_To_Card,Z_Devir_Hizi,Z_ortalama,Trend_Skoru
S53104Z8RQ1,JEAN-KADIN,0.0378816434225405,0.044776119402985,0.1293532338308457,28.65,9,0.3141361256544502,https://akstatic.lcwaikiki.com/PIM/ProductImages/20251/7582743/V3/L_20251-S53104Z8-RQ1-82-59-89-175_A.jpg,Wideleg kadin Jean Pantolon,Jean Pantolon,71,-0.05224854439614921,0.23908465147685737,0.05328681203837638,-0.649265547976117,-0.10228565721425811,0.14140003995001932
S54233Z8LQQ,PLAJ GIYIM-KADIN,0.0064887692635337,0.053072625698324,0.3547486033519553,130.1,76,0.5841660261337434,https://akstatic.lcwaikiki.com/PIM/ProductImages/20251/7592974/V1/L_20251-S54233Z8-LQQ_A.jpg,Desenli kadin Bikini Alt,Bikini Alt,34,-0.5935549511396343,0.4459206958790961,4.221841299991902,-0.3768280379992784,0.9243447516830213,0.7490413261781149
S54247Z8GVQ,PLAJ GIYIM-KADIN,0.0267799613402061,0.0210526315789473,0.1293233082706767,19.363636363636363,14,0.7230046948356808,https://akstatic.lcwaikiki.com/PIM/ProductImages/20251/7593010/V1/L_20251-S54247Z8-GVQ-84-60-91-173_A.jpg,Beli Lastikli kadin Deniz sortu,Yuzme sort,91,-0.2436745223540429,-0.35235374515346013,0.0527333564442704,-0.23675147195041746,-0.19501159575341254,0.13649188297261125
S54247Z8GXS,PLAJ GIYIM-KADIN,0.0245715582794234,0.027136258660508,0.132217090069284,30.9,47,1.5210355987055018,https://akstatic.lcwaikiki.com/PIM/ProductImages/20251/7593010/V1/L_20251-S54247Z8-GXS-84-62-90-177_A.jpg,Beli Lastikli kadin Deniz sortu,Yuzme sort,80,-0.2817539514441832,-0.2006858844449984,0.10625214491526842,0.5683947431500539,0.048051763044035176,0.2736362341308246
S54247Z8H0C,PLAJ GIYIM-KADIN,0.0180561800411766,0.0209698558322411,0.1083442551332459,83.25,48,0.5765765765765766,https://akstatic.lcwaikiki.com/PIM/ProductImages/20251/7593010/V1/L_20251-S54247Z8-H0C-84-60-91-173_A.jpg,Beli Lastikli kadin Deniz sortu,Yuzme sort,40,-0.3940984269725002,-0.35441738584891413,-0.3352618641091058,-0.3844851557324603,-0.3670657081657451,-0.13694599571602156
S54247Z8H2B,PLAJ GIYIM-KADIN,0.0192942224568581,0.0273621205643437,0.138948268490808,35.75,64,1.7902097902097902,https://akstatic.lcwaikiki.com/PIM/ProductImages/20251/7593010/V1/L_20251-S54247Z8-H2B-84-62-90-177_A.jpg,Beli Lastikli kadin Deniz sortu,Yuzme sort,94,-0.3727508979748629,-0.1950550344091489,0.23074132176870785,0.8399689145780824,0.12572607599069463,0.3700082531934862
S54395Z8ZMQ,PANTOLON-KADIN,0.0201046593177363,0.0304114490161001,0.1055456171735241,55.55,34,0.6120612061206121,https://akstatic.lcwaikiki.com/PIM/ProductImages/20251/7594717/V2/L_20251-S54395Z8-ZMQ-84-61-88-176_A.jpg,Beli Lastikli genis paca kadin Pantolon,Pantolon,94,-0.3587765589948627,-0.11903375357207752,-0.387021023367534,-0.34868414222148086,-0.3033788695389888,0.06963479132270783
S54397Z8HNG,PANTOLON-KADIN,0.0255451047456177,0.0376569037656903,0.1171548117154811,32.4,9,0.2777777777777778,https://akstatic.lcwaikiki.com/PIM/ProductImages/20251/7594727/V1/L_20251-S54397Z8-HNG-84-61-88-176_A.jpg,Beli Lastikli genis paca kadin Pileli Pantolon,Pantolon,43,-0.2649671183321772,0.06159905100285304,-0.1723158139738332,-0.6859480699664988,-0.26540798781741404,-0.05678559147218981
S54397Z8ZP7,PANTOLON-KADIN,0.053944866920152,0.0190895741556534,0.0969162995594713,41.45,13,0.3136308805790108,https://akstatic.lcwaikiki.com/PIM/ProductImages/20251/7594727/V1/L_20251-S54397Z8-ZP7-79-59-89-177_A.jpg,Beli Lastikli genis paca kadin Pileli Pantolon,Pantolon,22,0.22472914640617295,-0.4012937468740242,-0.5466151656272634,-0.6497752978595056,-0.3432387659886551,-0.17426713619205855
S54639Z8K7T,HAMILE GIYIM,0.0575111551809618,0.0344827586206896,0.0258620689655172,10.45,4,0.3827751196172249,https://akstatic.lcwaikiki.com/PIM/ProductImages/20251/7596123/V1/L_20251-S54639Z8-K7T-84-62-92-177_A.jpg,Karın Panelli Dokulu Hamile Pantolon,Pantolon,41,0.28622255010322084,-0.017533972317982014,-1.8607212737510677,-0.5800145629209729,-0.5430118147217005,-0.2571082703051903
